epoch,success_rate_overall,success_rate_overall_stderr,success_rate_covered,success_rate_covered_stderr,success_rate_held_out,success_rate_held_out_stderr,weighted_success_rate
140,0.518,0.022346185356789647,0.606,0.021852414054287,0.328,0.02099599961897504,0.44500000000000006
145,0.53,0.022320394261750844,0.616,0.02175058619899703,0.336,0.02112363605064242,0.4545
150,0.528,0.022325590697672478,0.606,0.021852414054287,0.34,0.021184900282984576,0.4535
155,0.53,0.022320394261750844,0.616,0.02175058619899703,0.34,0.021184900282984576,0.4565
160,0.526,0.022330427671677047,0.616,0.02175058619899703,0.34,0.021184900282984576,0.4555
165,0.53,0.022320394261750844,0.616,0.02175058619899703,0.34,0.021184900282984576,0.4565
170,0.526,0.022330427671677047,0.616,0.02175058619899703,0.34,0.021184900282984576,0.4555
175,0.528,0.022325590697672478,0.616,0.02175058619899703,0.346,0.021273645667821018,0.459
180,0.534,0.022308921982023246,0.606,0.021852414054287,0.374,0.021639038795658184,0.47200000000000003
185,0.526,0.022330427671677047,0.606,0.021852414054287,0.34,0.021184900282984576,0.45300000000000007
190,0.524,0.02233490541730589,0.606,0.021852414054287,0.346,0.021273645667821018,0.45549999999999996
195,0.524,0.02233490541730589,0.606,0.021852414054287,0.346,0.021273645667821018,0.45549999999999996
200,0.524,0.02233490541730589,0.606,0.021852414054287,0.346,0.021273645667821018,0.45549999999999996
205,0.524,0.02233490541730589,0.606,0.021852414054287,0.346,0.021273645667821018,0.45549999999999996
210,0.524,0.02233490541730589,0.604,0.02187162545399861,0.346,0.021273645667821018,0.455
215,0.53,0.022320394261750844,0.606,0.021852414054287,0.346,0.021273645667821018,0.457
220,0.524,0.02233490541730589,0.602,0.02189045454073533,0.346,0.021273645667821018,0.45449999999999996
225,0.528,0.022325590697672478,0.598,0.021926969694875762,0.346,0.021273645667821018,0.45449999999999996
230,0.47,0.022320394261750844,0.5,0.022360679774997897,0.346,0.021273645667821018,0.4155
235,0.472,0.022325590697672478,0.5,0.022360679774997897,0.354,0.021386163751360363,0.42
240,0.47,0.022320394261750844,0.5,0.022360679774997897,0.346,0.021273645667821018,0.4155
245,0.514,0.022351912669836556,0.574,0.02211442967837968,0.346,0.021273645667821018,0.445
250,0.498,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.435
255,0.498,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.435
260,0.498,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.435
265,0.498,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.435
270,0.502,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.436
275,0.502,0.02236050088884415,0.55,0.022248595461286987,0.342,0.021214900423994452,0.43400000000000005
280,0.498,0.02236050088884415,0.548,0.02225740326273485,0.346,0.021273645667821018,0.4345
285,0.502,0.02236050088884415,0.548,0.02225740326273485,0.342,0.021214900423994452,0.4335
290,0.502,0.02236050088884415,0.55,0.022248595461286987,0.346,0.021273645667821018,0.436
295,0.498,0.02236050088884415,0.55,0.022248595461286987,0.342,0.021214900423994452,0.43300000000000005
300,0.472,0.022325590697672478,0.5,0.022360679774997897,0.346,0.021273645667821018,0.416
