state,covered,near_death,true_value_pi_beta,n_actions_visited,total_samples,min_samples_per_visited_action,mean_samples_per_visited_action,max_samples_per_visited_action
430,False,True,-0.9999792866141926,0,0,0,0.0,0
431,False,True,-0.9994768213459501,0,0,0,0.0,0
432,False,True,-0.9993355902829277,0,0,0,0.0,0
433,True,True,-0.9993248155151249,2,4,1,2.0,3
434,True,True,-0.9996548986891332,2,84,6,42.0,78
435,True,True,-0.9996606724716167,3,103,2,34.333333333333336,81
436,True,True,-0.9666365343874468,1,3,3,3.0,3
437,True,True,-0.9661194046186508,2,6,2,3.0,4
438,False,True,-0.9448522853143033,0,0,0,0.0,0
439,False,True,-0.9448538913472897,0,0,0,0.0,0
440,True,True,-0.944134251161362,1,7,7,7.0,7
441,True,True,-0.9426788479944521,1,7,7,7.0,7
442,True,True,-0.9354879243665575,1,5,5,5.0,5
444,False,False,-0.15379883841481115,0,0,0,0.0,0
445,True,False,-0.010856745190245584,2,233,55,116.5,178
446,True,False,0.06707341350669425,2,287,55,143.5,232
447,True,False,0.14261848972674496,2,1155,507,577.5,648
448,True,False,0.1905600022818855,3,2847,2,949.0,2676
449,True,False,0.2050184798131367,3,2734,19,911.3333333333334,2600
450,False,True,-0.9999122694504649,0,0,0,0.0,0
451,False,True,-0.9999106610046794,0,0,0,0.0,0
452,False,True,-0.9985701753869279,0,0,0,0.0,0
453,False,True,-0.9985118537634197,0,0,0,0.0,0
454,False,True,-0.9984806483955724,0,0,0,0.0,0
455,False,True,-0.9984566758238549,0,0,0,0.0,0
456,False,True,-0.998435347197842,0,0,0,0.0,0
457,False,True,-0.9983634655448563,0,0,0,0.0,0
458,False,True,-0.9999317055080423,0,0,0,0.0,0
459,False,True,-0.99997744604188,0,0,0,0.0,0
460,False,True,-0.9999905028582812,0,0,0,0.0,0
461,False,True,-0.999990677796106,0,0,0,0.0,0
462,False,True,-0.9998070094950785,0,0,0,0.0,0
463,True,True,-0.999662424845204,1,4,4,4.0,4
464,True,True,-0.9996589770213063,2,12,1,6.0,11
465,True,True,-0.9996644320543251,2,25,1,12.5,24
466,False,True,-0.9245118442958133,0,0,0,0.0,0
467,True,True,-0.965017061542767,1,2,2,2.0,2
468,False,True,-0.9439694150431603,0,0,0,0.0,0
469,False,True,-0.9274843111850689,0,0,0,0.0,0
470,False,True,-0.9805867726209764,0,0,0,0.0,0
471,False,True,-0.9868471757465788,0,0,0,0.0,0
472,True,False,-0.4936305580673268,1,1,1,1.0,1
473,True,False,-0.47556271928482524,1,1,1,1.0,1
474,True,False,-0.037390338106756585,1,10,10,10.0,10
475,True,False,-0.023256492891621457,2,187,6,93.5,181
476,True,False,0.17616718102136597,2,79,13,39.5,66
477,True,False,0.17539255503860665,3,1070,2,356.6666666666667,1015
478,True,False,0.18975382784438907,3,1112,6,370.6666666666667,666
479,True,False,0.21991257927741756,3,3211,1,1070.3333333333333,3181
480,False,True,-0.9994461100293,0,0,0,0.0,0
481,False,True,-0.9998238751573741,0,0,0,0.0,0
482,False,True,-0.9985480129234503,0,0,0,0.0,0
483,False,True,-0.9985230091474231,0,0,0,0.0,0
484,False,True,-0.9984996976406486,0,0,0,0.0,0
485,False,True,-0.998475382900909,0,0,0,0.0,0
486,False,True,-0.998453257420007,0,0,0,0.0,0
487,False,True,-0.9999546375751769,0,0,0,0.0,0
489,False,True,-0.9999771414352284,0,0,0,0.0,0
490,False,True,-0.9999948145795,0,0,0,0.0,0
491,False,True,-0.9999910041656755,0,0,0,0.0,0
493,False,True,-0.9990484114192848,0,0,0,0.0,0
494,True,True,-0.9996251983635916,1,1,1,1.0,1
495,True,True,-0.9996667834675729,1,2,2,2.0,2
496,False,True,-0.9005194703553472,0,0,0,0.0,0
497,False,True,-0.9041823453744755,0,0,0,0.0,0
498,False,True,-0.9055068403537138,0,0,0,0.0,0
499,False,True,-0.9266916256090482,0,0,0,0.0,0
500,False,True,-0.9780534975640304,0,0,0,0.0,0
501,False,True,-0.992692134254527,0,0,0,0.0,0
502,False,True,-0.9927719775840872,0,0,0,0.0,0
503,True,False,-0.4651608705662048,1,1,1,1.0,1
504,True,False,-0.4588353019709916,1,5,5,5.0,5
505,True,False,-0.45840898892896986,2,12,4,6.0,8
506,True,False,0.19253026170372534,2,80,1,40.0,79
507,True,False,0.20655325882417389,2,77,9,38.5,68
508,True,False,0.22298772067285777,2,122,30,61.0,92
509,True,False,0.2347132625745875,4,3116,1,779.0,3082
510,False,True,-0.9988821625565176,0,0,0,0.0,0
511,False,True,-0.9986460211400601,0,0,0,0.0,0
512,False,True,-0.9985711793376623,0,0,0,0.0,0
513,False,True,-0.9985653456379934,0,0,0,0.0,0
514,False,True,-0.9985509741607934,0,0,0,0.0,0
515,False,True,-0.9985237186680199,0,0,0,0.0,0
516,False,True,-0.9984876877052081,0,0,0,0.0,0
517,False,True,-0.9998052328748281,0,0,0,0.0,0
518,False,True,-0.9998030805128829,0,0,0,0.0,0
519,False,True,-0.9999282763319686,0,0,0,0.0,0
520,False,True,-0.9999999867713875,0,0,0,0.0,0
521,False,True,-1.0000001032506993,0,0,0,0.0,0
522,False,True,-1.0000000358987469,0,0,0,0.0,0
523,False,True,-0.9985111712367807,0,0,0,0.0,0
524,False,True,-0.9984796288646933,0,0,0,0.0,0
525,False,True,-0.998445445843306,0,0,0,0.0,0
526,False,False,-0.8860046821473161,0,0,0,0.0,0
527,False,False,-0.8843451057715532,0,0,0,0.0,0
528,False,False,-0.8881131735154648,0,0,0,0.0,0
529,False,False,-0.8867494438929866,0,0,0,0.0,0
530,False,True,-0.9120801988149669,0,0,0,0.0,0
531,False,True,-0.9092808598258952,0,0,0,0.0,0
532,False,True,-0.9110168233457024,0,0,0,0.0,0
533,False,False,0.05513884936101157,0,0,0,0.0,0
534,True,False,-0.4070676774139067,1,3,3,3.0,3
535,True,False,-0.4513499434898886,2,10,2,5.0,8
536,True,False,0.24308318577453478,2,6,2,3.0,4
537,True,False,0.22349196259021914,3,77,1,25.666666666666668,72
538,True,False,0.2364150112440227,2,308,89,154.0,219
539,True,False,0.24921773701825697,2,3246,87,1623.0,3159
540,False,True,-0.9998785079737122,0,0,0,0.0,0
541,False,True,-0.999915265267101,0,0,0,0.0,0
542,False,True,-0.9999060267162552,0,0,0,0.0,0
543,False,True,-0.9999071535891592,0,0,0,0.0,0
544,False,True,-0.99856705882021,0,0,0,0.0,0
545,False,True,-0.9985571861055436,0,0,0,0.0,0
546,False,True,-0.9991180284293341,0,0,0,0.0,0
547,False,True,-0.999128123943125,0,0,0,0.0,0
548,False,True,-0.998509241234367,0,0,0,0.0,0
549,False,True,-0.9982791403219362,0,0,0,0.0,0
550,False,True,-0.9981399425659307,0,0,0,0.0,0
551,False,True,-0.9980571023636947,0,0,0,0.0,0
552,False,True,-0.9979938595048543,0,0,0,0.0,0
553,False,True,-0.9979355343819203,0,0,0,0.0,0
554,False,True,-0.9979951500318609,0,0,0,0.0,0
555,False,True,-0.9979746695456428,0,0,0,0.0,0
556,False,True,-0.9644380153051348,0,0,0,0.0,0
557,False,False,-0.8756748243401106,0,0,0,0.0,0
558,False,False,-0.8578866165066288,0,0,0,0.0,0
559,False,False,-0.8566139214369519,0,0,0,0.0,0
560,False,False,-0.8710634477934356,0,0,0,0.0,0
561,False,False,-0.8835256487191174,0,0,0,0.0,0
562,False,True,-0.9105196883149035,0,0,0,0.0,0
563,False,False,0.21655224763532038,0,0,0,0.0,0
564,False,False,0.23460066203883218,0,0,0,0.0,0
565,True,False,0.3025592752746671,2,6,2,3.0,4
566,True,False,0.268376926231427,2,4,1,2.0,3
567,True,False,0.2530653343800192,2,29,8,14.5,21
568,True,False,0.2507329035451092,2,227,17,113.5,210
569,True,False,0.2642205393716291,4,3226,2,806.5,3034
570,False,True,-0.999879845542175,0,0,0,0.0,0
572,False,True,-0.9998835450469065,0,0,0,0.0,0
573,False,True,-0.999841265219318,0,0,0,0.0,0
574,False,True,-0.9985830003013607,0,0,0,0.0,0
575,False,True,-0.9992124874371475,0,0,0,0.0,0
576,False,True,-0.9992227684505106,0,0,0,0.0,0
577,False,True,-0.9991377440637539,0,0,0,0.0,0
578,False,True,-0.9990585010942549,0,0,0,0.0,0
579,False,True,-0.9990663529007562,0,0,0,0.0,0
580,False,True,-0.9990554763316418,0,0,0,0.0,0
581,False,True,-0.998961484162315,0,0,0,0.0,0
582,False,True,-0.9988488568237328,0,0,0,0.0,0
583,False,True,-0.9970613998915068,0,0,0,0.0,0
584,False,True,-0.9979885676768798,0,0,0,0.0,0
585,False,True,-0.99305004267161,0,0,0,0.0,0
586,False,True,-0.992828993708107,0,0,0,0.0,0
587,False,True,-0.9930057757900171,0,0,0,0.0,0
588,False,False,-0.846111867575781,0,0,0,0.0,0
589,False,False,-0.8416996932887646,0,0,0,0.0,0
590,False,False,-0.4309631010248992,0,0,0,0.0,0
591,False,False,-0.8631128187383652,0,0,0,0.0,0
592,False,False,-0.1768348272652708,0,0,0,0.0,0
593,False,False,0.001141570941992404,0,0,0,0.0,0
594,False,False,0.26015611489418966,0,0,0,0.0,0
595,True,False,0.33599753732289145,1,18,18,18.0,18
596,True,False,0.3011963852285011,2,19,7,9.5,12
597,True,False,0.2727453102364535,2,32,8,16.0,24
598,True,False,0.2656168364654844,3,555,2,185.0,542
599,True,False,0.28021659311046454,3,3517,4,1172.3333333333333,3248
600,False,True,-1.0000000971926237,0,0,0,0.0,0
601,False,True,-1.000000049386188,0,0,0,0.0,0
602,False,True,-0.9999403366211781,0,0,0,0.0,0
603,False,True,-0.9986610582973054,0,0,0,0.0,0
604,False,True,-0.9986012657458678,0,0,0,0.0,0
605,False,True,-0.9992208724359835,0,0,0,0.0,0
606,False,True,-0.9991801144196559,0,0,0,0.0,0
607,False,True,-0.9991483687156303,0,0,0,0.0,0
608,False,True,-0.9999653712703259,0,0,0,0.0,0
609,False,True,-0.9999649788132849,0,0,0,0.0,0
610,False,True,-0.9999640618140178,0,0,0,0.0,0
612,False,True,-0.9950274851255123,0,0,0,0.0,0
613,False,True,-0.9946983153995953,0,0,0,0.0,0
614,False,True,-0.9944072509735989,0,0,0,0.0,0
615,False,True,-0.9942684764837753,0,0,0,0.0,0
616,False,True,-0.9939936980069422,0,0,0,0.0,0
617,False,True,-0.9938645430192357,0,0,0,0.0,0
618,False,False,-0.40220611394992467,0,0,0,0.0,0
619,False,False,-0.3256931715720845,0,0,0,0.0,0
620,False,False,-0.28619695140133344,0,0,0,0.0,0
621,False,False,-0.2663062329999323,0,0,0,0.0,0
622,False,False,-0.22975010332342946,0,0,0,0.0,0
623,False,False,0.13987712129157365,0,0,0,0.0,0
624,False,False,0.3756581461443451,0,0,0,0.0,0
625,True,False,0.36077578921907644,2,20,3,10.0,17
626,True,False,0.16234920695079608,2,13,6,6.5,7
