epoch,overall,covered,held_out,weighted_success_rate,weights
105,"{'mean_return': -2.7234800000000017, 'std_return': 2.778677291374443, 'stderr_return': 0.12426622622096488, 'mean_discounted_return': -2.7234800000000017, 'success_rate': 0.522, 'success_rate_stderr': 0.0223390241505756, 'mean_length': 105.536, 'n_episodes': 500}","{'mean_return': -1.7984000000000013, 'std_return': 2.6545689367579084, 'stderr_return': 0.11871593187100046, 'mean_discounted_return': -1.7984000000000013, 'success_rate': 0.598, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 76.016, 'n_episodes': 500}","{'mean_return': -4.937260000000004, 'std_return': 1.8322729852290054, 'stderr_return': 0.08194173896617048, 'mean_discounted_return': -4.937260000000004, 'success_rate': 0.296, 'success_rate_stderr': 0.02041489652190282, 'mean_length': 174.544, 'n_episodes': 500}",0.42800000000000005,"(0.25, 0.25, 0.5)"
110,"{'mean_return': -2.736560000000002, 'std_return': 2.7826056433494153, 'stderr_return': 0.12444190746207656, 'mean_discounted_return': -2.736560000000002, 'success_rate': 0.516, 'success_rate_stderr': 0.022349228174592516, 'mean_length': 105.766, 'n_episodes': 500}","{'mean_return': -1.8456000000000012, 'std_return': 2.6653379973279203, 'stderr_return': 0.11919753890076765, 'mean_discounted_return': -1.8456000000000012, 'success_rate': 0.594, 'success_rate_stderr': 0.021961967125009547, 'mean_length': 77.452, 'n_episodes': 500}","{'mean_return': -4.932980000000003, 'std_return': 1.8322849449799041, 'stderr_return': 0.08194227382249054, 'mean_discounted_return': -4.932980000000003, 'success_rate': 0.298, 'success_rate_stderr': 0.020454632727086544, 'mean_length': 174.47, 'n_episodes': 500}",0.4265,"(0.25, 0.25, 0.5)"
115,"{'mean_return': -2.549920000000002, 'std_return': 2.7701151589058552, 'stderr_return': 0.12388331601632248, 'mean_discounted_return': -2.549920000000002, 'success_rate': 0.544, 'success_rate_stderr': 0.022273930950777412, 'mean_length': 100.506, 'n_episodes': 500}","{'mean_return': -1.4775600000000015, 'std_return': 2.524801466729614, 'stderr_return': 0.1129125541859718, 'mean_discounted_return': -1.4775600000000015, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 66.626, 'n_episodes': 500}","{'mean_return': -4.880880000000003, 'std_return': 1.856921222238577, 'stderr_return': 0.08304404163574904, 'mean_discounted_return': -4.880880000000003, 'success_rate': 0.312, 'success_rate_stderr': 0.02071984555926998, 'mean_length': 173.214, 'n_episodes': 500}",0.45100000000000007,"(0.25, 0.25, 0.5)"
120,"{'mean_return': -2.555460000000002, 'std_return': 2.785660709490661, 'stderr_return': 0.12457853417342822, 'mean_discounted_return': -2.555460000000002, 'success_rate': 0.536, 'success_rate_stderr': 0.022302645582979612, 'mean_length': 100.416, 'n_episodes': 500}","{'mean_return': -1.4483200000000016, 'std_return': 2.5194330270122305, 'stderr_return': 0.11267247026314822, 'mean_discounted_return': -1.4483200000000016, 'success_rate': 0.638, 'success_rate_stderr': 0.021492138097453217, 'mean_length': 65.72, 'n_episodes': 500}","{'mean_return': -4.892280000000003, 'std_return': 1.8414678931765307, 'stderr_return': 0.08235294775052088, 'mean_discounted_return': -4.892280000000003, 'success_rate': 0.312, 'success_rate_stderr': 0.02071984555926998, 'mean_length': 173.594, 'n_episodes': 500}",0.4495,"(0.25, 0.25, 0.5)"
125,"{'mean_return': -2.5422400000000023, 'std_return': 2.771726787113047, 'stderr_return': 0.12395539022083721, 'mean_discounted_return': -2.5422400000000023, 'success_rate': 0.544, 'success_rate_stderr': 0.022273930950777412, 'mean_length': 100.25, 'n_episodes': 500}","{'mean_return': -1.4682000000000015, 'std_return': 2.5225425982528047, 'stderr_return': 0.11281153451664426, 'mean_discounted_return': -1.4682000000000015, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 66.314, 'n_episodes': 500}","{'mean_return': -4.880880000000003, 'std_return': 1.856921222238577, 'stderr_return': 0.08304404163574904, 'mean_discounted_return': -4.880880000000003, 'success_rate': 0.312, 'success_rate_stderr': 0.02071984555926998, 'mean_length': 173.214, 'n_episodes': 500}",0.45100000000000007,"(0.25, 0.25, 0.5)"
130,"{'mean_return': -2.551760000000002, 'std_return': 2.7782241994482755, 'stderr_return': 0.12424596333402554, 'mean_discounted_return': -2.551760000000002, 'success_rate': 0.54, 'success_rate_stderr': 0.022289010745208053, 'mean_length': 100.43, 'n_episodes': 500}","{'mean_return': -1.4682000000000015, 'std_return': 2.5225425982528047, 'stderr_return': 0.11281153451664426, 'mean_discounted_return': -1.4682000000000015, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 66.314, 'n_episodes': 500}","{'mean_return': -4.896560000000003, 'std_return': 1.8415505875212907, 'stderr_return': 0.08235664595404564, 'mean_discounted_return': -4.896560000000003, 'success_rate': 0.31, 'success_rate_stderr': 0.02068332661831747, 'mean_length': 173.668, 'n_episodes': 500}",0.44900000000000007,"(0.25, 0.25, 0.5)"
135,"{'mean_return': -2.554040000000002, 'std_return': 2.785354641405653, 'stderr_return': 0.1245648463925518, 'mean_discounted_return': -2.554040000000002, 'success_rate': 0.54, 'success_rate_stderr': 0.022289010745208053, 'mean_length': 100.506, 'n_episodes': 500}","{'mean_return': -1.4535000000000013, 'std_return': 2.536390890616036, 'stderr_return': 0.11343084897857379, 'mean_discounted_return': -1.4535000000000013, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 65.824, 'n_episodes': 500}","{'mean_return': -4.871200000000003, 'std_return': 1.8615777609329167, 'stderr_return': 0.08325228837695708, 'mean_discounted_return': -4.871200000000003, 'success_rate': 0.314, 'success_rate_stderr': 0.020755914819636352, 'mean_length': 172.96, 'n_episodes': 500}",0.45100000000000007,"(0.25, 0.25, 0.5)"
140,"{'mean_return': -3.0921600000000016, 'std_return': 2.570769171746077, 'stderr_return': 0.1149682924497012, 'mean_discounted_return': -3.0921600000000016, 'success_rate': 0.512, 'success_rate_stderr': 0.022354238971613417, 'mean_length': 117.482, 'n_episodes': 500}","{'mean_return': -2.264800000000001, 'std_return': 2.4989250008753783, 'stderr_return': 0.11175532345262135, 'mean_discounted_return': -2.264800000000001, 'success_rate': 0.596, 'success_rate_stderr': 0.021944657664224338, 'mean_length': 91.494, 'n_episodes': 500}","{'mean_return': -4.876600000000003, 'std_return': 1.8568030697949665, 'stderr_return': 0.08303875769783663, 'mean_discounted_return': -4.876600000000003, 'success_rate': 0.314, 'success_rate_stderr': 0.020755914819636352, 'mean_length': 173.14, 'n_episodes': 500}",0.43400000000000005,"(0.25, 0.25, 0.5)"
145,"{'mean_return': -3.118580000000002, 'std_return': 2.564816364498638, 'stderr_return': 0.11470207481645665, 'mean_discounted_return': -3.118580000000002, 'success_rate': 0.51, 'success_rate_stderr': 0.022356207191739835, 'mean_length': 118.294, 'n_episodes': 500}","{'mean_return': -2.3167600000000013, 'std_return': 2.51180610366326, 'stderr_return': 0.11233138388179865, 'mean_discounted_return': -2.3167600000000013, 'success_rate': 0.59, 'success_rate_stderr': 0.02199545407578575, 'mean_length': 93.02, 'n_episodes': 500}","{'mean_return': -4.871200000000003, 'std_return': 1.8615777609329167, 'stderr_return': 0.08325228837695708, 'mean_discounted_return': -4.871200000000003, 'success_rate': 0.314, 'success_rate_stderr': 0.020755914819636352, 'mean_length': 172.96, 'n_episodes': 500}",0.43200000000000005,"(0.25, 0.25, 0.5)"
150,"{'mean_return': -3.1255600000000014, 'std_return': 2.5676832137941026, 'stderr_return': 0.11483028421457478, 'mean_discounted_return': -3.1255600000000014, 'success_rate': 0.508, 'success_rate_stderr': 0.022357817424784557, 'mean_length': 118.458, 'n_episodes': 500}","{'mean_return': -2.269820000000001, 'std_return': 2.5067711039502605, 'stderr_return': 0.11210621184929948, 'mean_discounted_return': -2.269820000000001, 'success_rate': 0.592, 'success_rate_stderr': 0.021978898971513564, 'mean_length': 91.524, 'n_episodes': 500}","{'mean_return': -4.890180000000003, 'std_return': 1.842421278535398, 'stderr_return': 0.08239558443994448, 'mean_discounted_return': -4.890180000000003, 'success_rate': 0.312, 'success_rate_stderr': 0.02071984555926998, 'mean_length': 173.524, 'n_episodes': 500}",0.43100000000000005,"(0.25, 0.25, 0.5)"
