state,row,col,best_action,best_q,n_near_optimal,on_shortest_path
490,16,10,1,-0.42526379239611917,1,False
491,16,11,2,-0.4524084910834376,2,False
492,16,12,0,-0.3077923244260385,1,False
493,16,13,1,-0.15074071802095845,1,True
494,16,14,2,-0.18321283703892613,1,True
495,16,15,2,-0.21446510964511428,1,True
496,16,16,3,0.01719310362594298,2,True
497,16,17,1,0.05017536295279017,2,True
498,16,18,1,0.08016805439012976,1,True
499,16,19,1,0.1164381633525124,1,False
500,16,20,1,0.08279986073424032,1,False
501,16,21,0,-0.017765972376283294,1,False
502,16,22,2,-0.049980220581778485,1,False
503,16,23,3,0.18956780999289535,1,True
504,16,24,1,0.22535441700771033,1,True
505,16,25,1,0.19231895435145857,2,False
506,16,26,3,0.22268868010423976,1,True
507,16,27,1,0.2588462167737446,1,True
508,16,28,1,0.22981573107465128,2,False
509,16,29,1,0.2597972892385624,1,True
510,17,0,3,-0.6379287051849759,1,False
511,17,1,3,-0.6106995504917322,1,False
512,17,2,0,-0.5838724403920974,1,False
513,17,3,3,-0.5561183247147063,2,False
514,17,4,0,-0.5301160901972757,2,False
515,17,5,0,-0.5034316332553778,1,False
516,17,6,2,-0.5428114564634201,1,False
517,17,7,3,-0.30672707898310103,1,False
518,17,8,1,-0.27731650927502677,2,False
519,17,9,1,-0.24776943420651848,1,True
520,17,10,3,-0.39641400438787455,1,False
521,17,11,3,-0.3672030928843798,1,False
522,17,12,0,-0.33766343781381714,1,False
523,17,13,3,-0.11874915070948137,1,True
524,17,14,3,-0.08642122301757392,1,True
525,17,15,1,-0.05373118318115681,1,True
526,17,16,3,0.04939438545350121,1,True
527,17,17,1,0.08356411035633177,2,True
528,17,18,3,0.11553774214483496,1,True
529,17,19,1,0.15137953802814672,1,True
530,17,20,3,0.11738789119195583,1,False
531,17,21,1,0.15236461263967413,1,False
532,17,22,1,0.1200767419908334,2,False
533,17,23,1,0.3000403996530231,1,True
534,17,24,2,0.26243537839939585,1,True
535,17,25,2,0.2262862618510735,1,False
536,17,26,1,0.33322569811274577,1,True
537,17,27,2,0.2954100837683476,1,True
538,17,28,1,0.2642750417448011,3,False
539,17,29,1,0.2972079684134486,1,True
540,18,0,0,-0.6648279915327325,1,False
541,18,1,2,-0.6913730942197481,1,False
542,18,2,2,-0.7163047602123556,2,False
543,18,3,2,-0.7409733558352307,1,False
544,18,4,0,-0.557520939661572,1,False
545,18,5,0,-0.5311503738587107,1,False
546,18,6,0,-0.5700749398924563,1,False
547,18,7,2,-0.5970359236930407,1,False
548,18,8,3,-0.24758846515864238,1,False
549,18,9,3,-0.21606876588185217,1,True
550,18,10,3,-0.18395954782089935,1,True
551,18,11,3,-0.15234053862756097,1,True
552,18,12,3,-0.1203894983968653,1,True
553,18,13,3,-0.0880805786461243,1,True
554,18,14,3,-0.05462366682328939,1,True
555,18,15,1,-0.02067438093803395,1,True
556,18,16,3,0.08355185022526707,1,True
557,18,17,3,0.11819841656040554,1,True
558,18,18,1,0.15412163333457923,2,True
559,18,19,1,0.18770569566026832,1,True
560,18,20,3,0.15503635431158316,2,False
561,18,21,1,0.18860643058211102,1,False
562,18,22,2,0.15327536893197402,1,False
563,18,23,3,0.337093228779485,1,True
564,18,24,1,0.3745357510930802,1,True
565,18,25,1,0.4084654762770666,1,True
566,18,26,2,0.37064660276592765,1,True
567,18,27,1,0.33332487124940147,1,False
568,18,28,1,0.2991207268459776,2,False
569,18,29,1,0.3351146939703823,1,True
570,19,0,0,-0.6900526419077503,1,False
571,19,1,0,-0.7158316798567117,2,False
572,19,2,3,-0.6914026589270063,1,False
573,19,3,1,-0.664859477179201,1,False
574,19,4,0,-0.5846401434411662,1,False
575,19,5,0,-0.5592287757209006,1,False
576,19,6,2,-0.5855941143574559,1,False
577,19,7,0,-0.6236977480290224,1,False
578,19,8,3,-0.2720038256607242,2,False
579,19,9,3,-0.24287395225535569,1,False
580,19,10,3,-0.21197881183031686,1,False
