state,covered,critic_pred,true_value,abs_error,signed_error
78,True,-0.18271854519844055,-0.966426468003318,0.7837079228048774,0.7837079228048774
79,True,-0.20446276664733887,-0.9727841758735501,0.7683214092262113,0.7683214092262113
80,True,-0.12986958026885986,-0.9999789406738391,0.8701093604049792,0.8701093604049792
81,True,-0.23616501688957214,-0.9999679500563544,0.7638029331667823,0.7638029331667823
82,False,-0.14540675282478333,-1.0000005361611555,0.8545937833363721,0.8545937833363721
83,False,-0.0865444466471672,-1.0000004358700023,0.9134559892228351,0.9134559892228351
84,False,0.1017686054110527,-0.9999981546191562,1.101766760030209,1.101766760030209
85,False,0.006765715777873993,-0.9999957812993544,1.0067614970772283,1.0067614970772283
86,False,-0.03583572059869766,-0.999995696538019,0.9641599759393213,0.9641599759393213
87,False,0.26923662424087524,-1.0000001584103644,1.2692367826512396,1.2692367826512396
88,False,0.07722637802362442,-1.0000002568746984,1.0772266348983228,1.0772266348983228
89,False,0.3052894175052643,-1.0000007430990348,1.305290160604299,1.305290160604299
90,False,-0.8138203024864197,-0.9999999747110426,0.18617967222462295,0.18617967222462295
92,False,-0.7557011246681213,-0.9999997901617488,0.24429866549362744,0.24429866549362744
93,True,-0.6267505884170532,-0.6269368354096164,0.00018624699256319932,0.00018624699256319932
94,True,-0.5613827109336853,-0.6063343237987391,0.04495161286505378,0.04495161286505378
95,True,-0.5043125152587891,-0.5674864417813945,0.06317392652260545,0.06317392652260545
96,True,-0.5667697787284851,-0.5624079285130568,0.004361850215428342,-0.004361850215428342
97,True,-0.507646918296814,-0.49478268041243373,0.012864237884380236,-0.012864237884380236
98,True,-0.5113561153411865,-0.4873227263032924,0.02403338903789415,-0.02403338903789415
99,True,-0.454345703125,-0.46676626537975235,0.012420562254752354,0.012420562254752354
100,True,-0.49464380741119385,-0.46019392251431634,0.0344498848968775,-0.0344498848968775
101,True,-0.4470531940460205,-0.45408067371363586,0.007027479667615355,0.007027479667615355
102,True,-0.48051682114601135,-0.43603374242824994,0.044483078717761415,-0.044483078717761415
103,True,-0.3933848440647125,-0.4086464649065113,0.015261620841798773,0.015261620841798773
104,True,-0.36743587255477905,-0.37488739057236947,0.007451518017590419,0.007451518017590419
105,True,-0.3340958058834076,-0.36706211474918726,0.03296630886577967,0.03296630886577967
106,True,-0.31962698698043823,-0.3598788045077449,0.040251817527306666,0.040251817527306666
107,True,-0.20341944694519043,-0.537315612441952,0.3338961654967616,0.3338961654967616
108,False,-0.16701334714889526,-0.7276221283463762,0.5606087811974809,0.5606087811974809
109,False,-0.19619429111480713,-0.9920817097331801,0.795887418618373,0.795887418618373
110,True,-0.17748475074768066,-0.9999876016677345,0.8225028509200538,0.8225028509200538
111,False,-0.24973449110984802,-1.0000004934644793,0.7502660023546313,0.7502660023546313
112,False,-0.23628592491149902,-1.0000006443310068,0.7637147194195077,0.7637147194195077
113,False,-0.2497462034225464,-1.000000606978083,0.7502544035555365,0.7502544035555365
114,False,0.03398125618696213,-1.0000002145512328,1.033981470738195,1.033981470738195
115,False,0.2024167776107788,-1.000000301943832,1.2024170795546107,1.2024170795546107
116,False,0.2566985785961151,-1.000000278653503,1.256698857249618,1.256698857249618
117,False,0.07146162539720535,-1.0000001805257863,1.0714618059229917,1.0714618059229917
118,False,0.2678045332431793,-1.0000005212969496,1.267805054540129,1.267805054540129
119,False,0.2865673005580902,-1.0000005652283102,1.2865678657864004,1.2865678657864004
120,False,-0.8251605033874512,-0.9999998588843948,0.17483935549694363,0.17483935549694363
121,False,-0.835559070110321,-0.9999998473969106,0.16444077728658957,0.16444077728658957
122,False,-0.8382572531700134,-0.9999998596421147,0.16174260647210126,0.16174260647210126
123,True,-0.7362136840820312,-0.7540346191209741,0.017820935038942887,0.017820935038942887
124,True,-0.6506581902503967,-0.9678732519267323,0.3172150616763356,0.3172150616763356
125,True,-0.7434722781181335,-0.9782934136497581,0.23482113553162454,0.23482113553162454
126,True,-0.5648267865180969,-0.6242874043841083,0.05946061786601142,0.05946061786601142
127,True,-0.528968870639801,-0.5076747027140286,0.021294167925772434,-0.021294167925772434
128,True,-0.5260426998138428,-0.4989137488747882,0.027128950939054597,-0.027128950939054597
129,True,-0.5375686287879944,-0.9997106327914795,0.46214200400348515,0.46214200400348515
130,True,-0.4301338493824005,-0.9997279038406024,0.5695940544582019,0.5695940544582019
131,True,-0.5342175364494324,-0.9997254103175831,0.46550787386815073,0.46550787386815073
132,True,-0.4391799867153168,-0.42861763999281066,0.01056234672250611,-0.01056234672250611
133,True,-0.45205405354499817,-0.4221664105763174,0.029887642968680794,-0.029887642968680794
134,True,-0.47278904914855957,-0.2783178612016014,0.19447118794695817,-0.19447118794695817
135,True,-0.337889701128006,-0.3327118315441032,0.005177869583902761,-0.005177869583902761
136,True,-0.33424219489097595,-0.3525225627888036,0.018280367897827665,0.018280367897827665
