state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,references_agree_on_action,severity_raw_strict,severity_strict
40,1,10,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.999577255034962,-2.4229416847229004,0.5766355703120616,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
41,1,11,True,2,-0.9082178213660944,1,1,0,0.9486832980505139,-2.598060975426111,2.037621039635e-16,1.6898431540600165,0,0.0,0.0,0,-2.994787836993102,-2.2260630130767822,0.7687248239163198,9,9,9,1,-3.627217982595484,0,0.9486832980505139,-1.0291570071693732,0,0.0,0,0,1,0.0,0.0
42,1,12,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997179035756359,-2.184748411178589,0.8124306245777699,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
43,1,13,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9972754585158796,-2.1195123195648193,0.8777631389510603,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
44,1,14,False,0,-50.0,0,1,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9974419594404274,-1.7011489868164062,1.296292972624021,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
45,1,15,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.997532067335084,-1.7603281736373901,1.2372038936976937,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
46,1,16,False,0,-50.0,0,3,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9977368397756803,-1.4616559743881226,1.5360808653875577,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
47,1,17,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9977628985686717,-1.3670756816864014,1.6306872168822704,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
48,1,18,False,0,-50.0,0,2,1,,-2.598060975426111,2.037621039635e-16,-47.40193902457389,0,0.0,0.0,0,-2.9977872359583055,-1.5362272262573242,1.4615600097009813,0,0,0,0,-50.0,1,,-47.40193902457389,0,0.0,0,0,1,0.0,0.0
49,1,19,False,0,-50.0,0,1,1,,-2.395363682903787,0.09907653158207191,-47.604636317096215,0,0.0,0.0,0,-1.536307489559846,-1.3812589645385742,0.15504852502127187,0,0,0,0,-50.0,1,,-47.604636317096215,0,0.0,0,0,1,0.0,0.0
