state,row,col,covered,true_value_pi_beta,near_death,critic_pred_pi_beta,critic_abs_error,pi_d_star_action,best_config_action,argmax_agree,rank_correlation
135,4,15,True,-0.3327118315441032,False,-0.337889701128006,0.005177869583902761,1,1,1,0.9486832980505139
136,4,16,True,-0.3525225627888036,False,-0.33424219489097595,0.018280367897827665,2,2,1,0.316227766016838
137,4,17,False,-0.3162696919544403,False,-0.16304144263267517,0.15322824932176515,0,1,0,
138,4,18,False,-0.488632127332373,False,-0.23794639110565186,0.25068573622672113,0,2,0,
139,4,19,False,-0.9997879980004695,True,-0.22320914268493652,0.776578855315533,0,3,0,
140,4,20,True,-0.9999946776215909,True,-0.20781147480010986,0.792183202821481,3,3,1,0.9486832980505139
141,4,21,True,-1.0000005203976636,True,-0.07105878740549088,0.9289417329921728,1,1,1,0.9486832980505139
142,4,22,True,-1.0000006407509217,True,-0.20498669147491455,0.7950139492760071,1,1,1,0.7745966692414834
143,4,23,True,-1.0000008833452654,True,-0.3037142753601074,0.696286607985158,3,1,0,0.7378647873726218
144,4,24,False,-1.0000001598470125,True,0.09830592572689056,1.098306085573903,0,3,0,
145,4,25,False,-1.0000001932483364,True,-0.01781732589006424,0.9821828673582722,0,3,0,
146,4,26,False,-1.0000003234831933,True,0.09850283712148666,1.09850316060468,0,3,0,
147,4,27,False,-1.000000378379493,True,0.2865365147590637,1.2865368931385568,0,1,0,
148,4,28,False,-1.0000004655505381,True,0.3264661729335785,1.3264666384841166,0,1,0,
149,4,29,False,-1.0000005209939804,True,0.26651379466056824,1.2665143156545486,0,0,1,
150,5,0,False,-0.9999999364213891,True,-0.832445502281189,0.1675544341402001,0,0,1,
151,5,1,False,-0.9999999647073337,True,-0.7639427185058594,0.23605724620147428,0,0,1,
152,5,2,False,-0.9999995789845973,True,-0.8206871747970581,0.17931240418753924,0,0,1,
153,5,3,True,-0.8497460044380336,False,-0.7929185032844543,0.05682750115357926,0,0,1,0.316227766016838
154,5,4,True,-0.9682281070533465,True,-0.7391508221626282,0.22907728489071832,0,0,1,0.7745966692414834
155,5,5,True,-0.9891447100097384,True,-0.727896511554718,0.26124819845502034,0,0,1,0.316227766016838
156,5,6,True,-0.9895264103428508,True,-0.5279940366744995,0.4615323736683513,3,3,1,0.7745966692414834
157,5,7,True,-0.999400069823854,True,-0.5279535055160522,0.47144656430780174,2,3,0,0.39999999999999997
158,5,8,True,-0.9996888000293078,True,-0.49410971999168396,0.5055790800376239,2,3,0,0.39999999999999997
159,5,9,True,-0.9996940731798247,True,-0.4193221926689148,0.5803718805109099,1,2,0,-0.10540925533894598
160,5,10,True,-0.9996904583653599,True,-0.6155509352684021,0.38413952309695776,1,1,1,1.0
161,5,11,True,-0.9997220495128332,True,-0.41752001643180847,0.5822020330810247,3,3,1,0.7745966692414834
162,5,12,True,-0.9997188722649523,True,-0.41100266575813293,0.5887162065068193,3,3,1,0.7999999999999999
163,5,13,True,-0.9997156666131902,True,-0.5111013650894165,0.4886143015237737,1,1,1,0.7999999999999999
164,5,14,True,-0.26949646464978166,False,-0.3313586413860321,0.06186217673625044,1,1,1,0.9486832980505139
165,5,15,True,-0.3056773126681208,False,-0.35846349596977234,0.052786183301651524,2,2,1,0.7999999999999999
166,5,16,True,-0.2325803443518243,False,-0.31793150305747986,0.08535115870565557,1,1,1,0.9486832980505139
167,5,17,True,-0.22589919157168722,False,-0.19721969962120056,0.028679491950486663,3,3,1,0.7745966692414834
