state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error
59,1,29,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000007512865121,0.3527050316333771,1.3527057829198892
60,2,0,False,-50.0,0,0,0,,-0.9678448780340889,0.008174351272229548,-49.032155121965914,0,0.0,0.0,0,-0.9999998824190653,-0.7587162852287292,0.2412835971903361
61,2,1,False,-50.0,0,3,1,,-0.9651652845369297,0.008395439055892065,-49.03483471546307,0,0.0,0.0,0,-0.9999998972478745,-0.6568432450294495,0.34315665221842506
62,2,2,False,-50.0,0,0,0,,-0.9678448780340889,0.00817435127222955,-49.032155121965914,0,0.0,0.0,0,-0.9999998680184842,-0.5931771993637085,0.4068226686547757
63,2,3,True,-0.1005982445109704,1,1,0,0.19999999999999998,-0.18147761572789695,0.033494886690162526,0.08087937121692655,0,0.0,0.0,0,-0.6342396553910409,-0.6305562853813171,0.003683370009723741
64,2,4,True,-0.06249732802324579,3,3,0,0.7999999999999999,-0.17549536600385288,0.037361800252721955,0.11299803798060709,0,0.0,0.0,0,-0.5874585068946582,-0.5369592308998108,0.05049927599484738
65,2,5,True,-0.051577360094411495,1,1,0,0.9486832980505139,-0.1280519812177785,0.030366583786798167,0.076474621123367,0,0.0,0.0,0,-0.5802196227788678,-0.5499200224876404,0.03029960029122747
66,2,6,True,-0.061768748979284194,2,2,0,0.7999999999999999,-0.17549536600385288,0.037361800252721955,0.11372661702456868,0,0.0,0.0,0,-0.5855725353185728,-0.599087655544281,0.013515120225708221
67,2,7,True,-0.029536926657846053,3,3,0,0.7745966692414834,-0.06379598771905745,0.017182357944002025,0.0342590610612114,0,0.0,0.0,0,-0.4850422298251066,-0.4909098148345947,0.005867585009488141
68,2,8,True,-0.018451038367247437,3,3,0,0.7745966692414834,-0.054037382041436495,0.017329570891659055,0.03558634367418906,0,0.0,0.0,0,-0.47922812627270084,-0.5112529993057251,0.03202487303302426
69,2,9,True,-0.0071792160267207935,1,1,0,1.0,-0.05385227838423748,0.020716039413792128,0.046673062357516684,0,0.0,0.0,0,-0.47334438164806464,-0.5129793286323547,0.0396349469842901
70,2,10,True,-0.004378944886984239,3,3,0,0.7745966692414834,-0.6433438014766171,0.04111725231510659,0.6389648565896329,0,0.0,0.0,0,-0.8949692318260641,-0.502613365650177,0.39235586617588714
71,2,11,True,0.005677833148303471,1,0,1,-0.39999999999999997,-0.6084336824306297,0.04429914725471174,0.6141115155789332,1,0.6141115155789332,0.6446559898391073,1,-0.8938184708962957,-0.33908677101135254,0.5547316998849432
72,2,12,True,-0.9999989913057293,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,-0.13397866616369147,0,0.0,0.0,0,-0.9997490046450277,-0.44953227043151855,0.5502167342135091
73,2,13,True,-0.9999989913057293,3,3,0,0.9486832980505139,-0.8660203251420379,0.0,-0.13397866616369147,0,0.0,0.0,0,-0.9997890595982284,-0.47426527738571167,0.5255237822125167
74,2,14,True,-0.9999989913057293,0,0,0,0.7745966692414834,-0.8660203251420379,0.0,-0.13397866616369147,0,0.0,0.0,0,-0.9997877880849432,-0.4388028383255005,0.5609849497594427
75,2,15,True,-0.999998991305729,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,-0.13397866616369114,0,0.0,0.0,0,-0.9997711493947575,-0.340906023979187,0.6588651254155705
76,2,16,True,-0.9999989913057289,0,0,0,-0.10540925533894598,-0.8660203251420379,0.0,-0.13397866616369103,0,0.0,0.0,0,-0.9997686127587576,-0.35655707120895386,0.6432115415498038
77,2,17,True,-0.9999989913057307,3,1,1,0.7378647873726218,-0.6031908767509977,0.0496412531679371,-0.39680811455473297,0,0.0,0.0,0,-0.7285407971139668,-0.1478426158428192,0.5806981812711476
78,2,18,True,-0.9999989913057306,3,1,1,0.2581988897471611,-0.7636650940366035,0.031110386598792988,-0.236333897269127,0,0.0,0.0,0,-0.966426468003318,-0.18271851539611816,0.7837079526071998
79,2,19,True,-0.9999989913057304,0,1,1,-0.10540925533894598,-0.7659903266813467,0.027081186202324574,-0.23400866462438374,0,0.0,0.0,0,-0.9727841758735501,-0.20446282625198364,0.7683213496215665
