state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,p_beta_star,p_theta_star,delta_p_star,prior_error,C
190,6,10,True,2,-0.6439673776718234,1,1,0,0.632455532033676,-0.8660203251420378,1.2490984923352586e-17,0.2220529474702143,0,0.0,0.0,0,-0.9996861452352496,-0.5157756805419922,0.4839104646932572,859,6.756932389247553,0.5945889353752136,0.3989916443824768,-0.19559729099273682,0.4054110646247864,-0.4824665828343014
191,6,11,True,3,-0.6478132606749225,2,2,0,0.948683298050514,-0.8660203251420378,1.2490984923352586e-17,0.2182070644671152,0,0.0,0.0,0,-0.9996894601192648,-0.541607677936554,0.4580817821827108,380,5.942799375126701,0.9842824339866638,0.9947638511657715,0.010481417179107666,0.01571756601333618,
192,6,12,True,2,-0.6438665410608423,1,3,1,0.7378647873726218,-0.8660203251420378,1.2490984923352586e-17,0.2221537840811954,1,0.2221537840811954,0.2552303869929743,1,-0.9997033499531284,-0.5343406796455383,0.46536267030759,3931,8.276903481267057,0.5850491523742676,0.4120498299598694,-0.1729993224143982,0.4149508476257324,-0.41691521635457907
193,6,13,True,3,-0.6478179832802003,2,2,0,1.0,-0.8660203251420378,1.2490984923352586e-17,0.2182023418618374,0,0.0,0.0,0,-0.9997121634344842,-0.4208984673023224,0.5788136961321618,3212,8.074960359115858,0.5322238802909851,0.3557225465774536,-0.1765013337135315,0.4677761197090149,-0.37732010309403147
194,6,14,True,3,0.1733786354447254,3,3,0,0.1999999999999999,0.107236299265247,0.0250704552504941,0.0661423361794784,0,0.0,0.0,0,-0.2408984153579794,-0.3429866433143616,0.102088227956382,3539,8.17188200612782,0.9983106851577759,0.9995026588439941,0.0011919736862182617,0.001689314842224121,
195,6,15,True,3,0.186552862167497,3,3,0,0.7999999999999999,0.1310139002162979,0.0210347105898837,0.0555389619511991,0,0.0,0.0,0,-0.2318190551365109,-0.3241021037101745,0.0922830485736636,3533,8.170185652879642,0.99048912525177,0.9974067807197571,0.0069176554679870605,0.00951087474822998,
196,6,16,True,3,0.1998660925612328,3,3,0,0.7999999999999999,0.1624909378188161,0.0155620752460342,0.0373751547424167,0,0.0,0.0,0,-0.2230559541978091,-0.2530120611190796,0.0299561069212704,3488,8.157370441186774,0.9937604069709778,0.9978960752487183,0.0041356682777404785,0.006239593029022217,
197,6,17,True,2,0.2145894545095423,1,3,1,0.7378647873726218,0.1591958095828559,0.0214614993597979,0.0553936449266863,1,0.0553936449266863,0.0636412361376756,1,-0.214018334936771,-0.2962520122528076,0.0822336773160365,3366,8.121777419161074,0.15743699669837952,0.025335999205708504,-0.132100997492671,0.8425630033016205,-0.15678471161803614
198,6,18,True,4,0.2266834272387987,1,1,0,0.1999999999999999,0.1771869573177089,0.0204899564611804,0.0494964699210897,0,0.0,0.0,0,-0.2055742119601498,-0.2057250142097473,0.0001508022495975,3162,8.059276223305648,0.9434283375740051,0.9948257207870483,0.05139738321304321,0.05657166242599487,0.9085358465517878
199,6,19,True,3,0.2701336504132169,0,0,0,0.1999999999999999,0.2330627292261033,0.0145207472188866,0.0370709211871135,0,0.0,0.0,0,-0.1728936320870663,-0.2144375741481781,0.0415439420611117,6045,8.707152175339404,0.8877127766609192,0.999237060546875,0.11152428388595581,0.11228722333908081,0.9932054651416474
200,6,20,True,2,0.3133676904571746,3,3,0,0.632455532033676,0.2713218289492666,0.0166326073458874,0.042045861507908,0,0.0,0.0,0,-0.1293492168618825,-0.0357456281781196,0.0936035886837629,5315,8.578476419833136,0.6187261939048767,0.407879501581192,-0.2108466923236847,0.3812738060951233,-0.5530059735367211
201,6,21,True,3,0.3284885169144876,1,1,0,1.0,0.2706705497085061,0.0232534616383679,0.0578179672059814,0,0.0,0.0,0,-0.0971531574439318,-0.1373684406280517,0.0402152831841198,3410,8.134760782418645,0.9685254096984863,0.9917792677879333,0.02325385808944702,0.03147459030151367,0.7388136864271971
202,6,22,True,1,-1.0000520121406975,3,3,0,0.7745966692414834,-0.8660203251420378,1.2490984923352586e-17,-0.1340316869986599,0,0.0,0.0,0,-1.00000090500067,-0.312885969877243,0.6871149351234269,15,2.772588722239781,0.9975706934928894,0.9990096092224121,0.001438915729522705,0.0024293065071105957,
203,6,23,True,2,-1.0000034599087346,3,3,0,0.948683298050514,-0.8660203251420378,1.2490984923352586e-17,-0.1339831347666968,0,0.0,0.0,0,-1.0000010101165575,-0.2975849211215973,0.7024160889949604,276,5.6240175061873385,0.9912153482437134,0.6470845341682434,-0.34413081407546997,0.008784651756286621,
204,6,24,True,2,-1.0000022925266572,3,2,1,0.7378647873726218,-0.8660203251420378,1.2490984923352586e-17,-0.1339819673846194,0,0.0,0.0,0,-1.0000009834705246,-0.4201672077178955,0.5798337757526291,290,5.673323267171493,0.08918021619319916,0.004254350904375315,-0.08492586528882384,0.9108197838068008,-0.09324112936356459
214,7,4,True,1,-0.5416077163771436,3,2,1,0.2581988897471611,-0.4776233018780275,0.0278705670766079,-0.063984414499116,0,0.0,0.0,0,-0.9988564131986806,-0.7052227854728699,0.2936336277258107,185,5.225746673713202,0.9984110593795776,0.4389457106590271,-0.5594653487205505,0.0015889406204223633,
215,7,5,True,2,-0.5473013645542048,2,0,1,0.2108185106778919,-0.1888129781041354,0.0171779740604327,-0.3584883864500693,0,0.0,0.0,0,-0.9994412447600854,-0.760040819644928,0.2394004251151574,322,5.777652323222656,0.006380642764270306,4.355974306236021e-05,-0.006337083021207945,0.9936193572357297,-0.006377777340044829
216,7,6,True,4,-0.5612116539627359,0,0,0,0.316227766016838,-0.5619908185859389,0.028675407310494,0.000779164623203,0,0.0,0.0,0,-0.9997612685730458,-0.8140208721160889,0.1857403964569569,8097,8.999372396592106,0.7302631139755249,0.6835322976112366,-0.04673081636428833,0.2697368860244751,-0.17324592514220735
217,7,7,True,4,-0.5661091889701498,0,0,0,0.316227766016838,-0.5535751870123781,0.0290071868652506,-0.0125340019577717,0,0.0,0.0,0,-0.999768518641505,-0.7778770327568054,0.2218914858846995,7336,8.900685318713995,0.7321746945381165,0.8429035544395447,0.11072885990142822,0.26782530546188354,0.4134368845784327
218,7,8,True,3,-0.7979136368038149,1,0,1,0.3999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.0681066883382228,1,0.0681066883382228,0.078247131793268,1,-0.999530825357826,-0.7469120621681213,0.2526187631897048,119,4.787491742782046,0.28455469012260437,0.1571877896785736,-0.12736690044403076,0.7154453098773956,-0.17802464938355297
219,7,9,True,3,-0.806887252995711,0,0,0,0.7999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.0591330721463267,0,0.0,0.0,0,-0.99946867101966,-0.7068676948547363,0.2926009761649236,52,3.970291913552122,0.7250909209251404,0.9676195979118347,0.24252867698669434,0.2749090790748596,0.8822141407728922
220,7,10,True,2,-0.6398733897779053,3,3,0,0.316227766016838,-0.8660203251420378,1.2490984923352586e-17,0.2261469353641324,0,0.0,0.0,0,-0.9996779629931724,-0.4554041624069214,0.544273800586251,579,6.363028103540465,0.9986690282821655,0.47647807002067566,-0.5221909582614899,0.0013309717178344727,
221,7,11,True,2,-0.6358301549763656,1,3,1,0.7378647873726218,-0.8660203251420378,1.2490984923352586e-17,0.2301901701656721,1,0.2301901701656721,0.2644633151596008,1,-0.9996741570298648,-0.6041157841682434,0.3955583728616214,2956,7.9919305198524775,0.16409987211227417,0.013771493919193745,-0.15032837819308043,0.8359001278877258,-0.17984011866698962
222,7,12,True,3,-0.6398707641007648,2,2,0,0.7999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.2261495610412729,0,0.0,0.0,0,-0.9996915806100264,-0.4562239646911621,0.5434676159188644,4697,8.454892165218858,0.5127054452896118,0.34607040882110596,-0.16663503646850586,0.4872945547103882,-0.34195957015678413
223,7,13,True,2,-0.5985523557218898,3,3,0,0.948683298050514,-0.8660203251420378,1.2490984923352586e-17,0.2674679694201479,0,0.0,0.0,0,-0.999798023739096,-0.5104015469551086,0.4893964767839873,885,6.786716950605081,0.5098444819450378,0.6670247316360474,0.15718024969100952,0.49015551805496216,0.32067424297237956
224,7,14,True,3,-0.5940400280927297,3,3,0,0.7999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.271980297049308,0,0.0,0.0,0,-0.9997929010389168,-0.2922715246677398,0.7075213763711771,476,6.1675164908883415,0.9839996695518494,0.9979388117790222,0.013939142227172852,0.016000330448150635,
225,7,15,True,3,-0.5894849859660098,3,3,0,0.7999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.2765353391760279,0,0.0,0.0,0,-0.9997903567974608,-0.3916906118392944,0.6080997449581664,2030,7.616283561580385,0.8557356595993042,0.8409714102745056,-0.014764249324798584,0.1442643404006958,-0.10234164093351633
226,7,16,True,3,-0.5847552920291748,1,1,0,0.7999999999999999,-0.8660203251420378,1.2490984923352586e-17,0.281265033112863,0,0.0,0.0,0,-0.9997874120746602,-0.4266344606876373,0.5731529513870228,22930,10.040244985890988,0.9395546317100525,0.6546255350112915,-0.284929096698761,0.06044536828994751,-4.713828449716745
227,7,17,True,2,0.2279238491896045,3,3,0,0.632455532033676,0.1785590848169422,0.0205204648991552,0.0493647643726622,0,0.0,0.0,0,-0.2047016983984329,-0.2605246007442474,0.0558229023458144,679,6.522092798170152,0.9977381229400635,0.9996494054794312,0.0019112825393676758,0.0022618770599365234,
228,7,18,True,3,0.2416931800771039,3,3,0,0.7999999999999999,0.1726573872529936,0.0264504574741084,0.0690357928241103,0,0.0,0.0,0,-0.1957452467288319,-0.1989715695381164,0.0032263228092845,4610,8.436200032206706,0.9941478967666626,0.9994875192642212,0.005339622497558594,0.005852103233337402,
229,7,19,True,3,0.2560302962365194,0,0,0,1.0,0.2011780465979165,0.0210118493064451,0.0548522496386028,0,0.0,0.0,0,-0.1863962675293635,-0.2289440035820007,0.0425477360526371,5200,8.556606193773073,0.8019254207611084,0.9988774657249451,0.19695204496383667,0.1980745792388916,0.9943327696094657
230,7,20,True,3,0.2991230605392666,0,0,0,0.1999999999999999,0.2106065291509617,0.0315389139688775,0.0885165313883049,0,0.0,0.0,0,-0.1556465168211203,-0.170813649892807,0.0151671330716866,2070,7.635786861395585,0.9031117558479309,0.9985659718513489,0.09545421600341797,0.09688824415206909,0.9851991522686656
231,7,21,True,2,0.3434042970116356,3,3,0,0.948683298050514,0.2369172812677664,0.0361403169825511,0.1064870157438692,0,0.0,0.0,0,-0.0859111031482038,-0.0684415325522422,0.0174695705959616,3324,8.109224953089955,0.9911154508590698,0.9954959154129028,0.004380464553833008,0.008884549140930176,
232,7,22,True,3,0.3584774157968071,1,1,0,0.7999999999999999,0.3018471744135918,0.0238374616570177,0.0566302413832152,0,0.0,0.0,0,-0.0755356956145334,-0.1160576418042182,0.0405219461896848,3424,8.138856750696325,0.9642130136489868,0.9994457364082336,0.035232722759246826,0.035786986351013184,0.9845121467806784
