state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,total_samples,log_coverage,goal_distance,start_distance,hazard_distance,local_connectivity
33,1,3,True,-0.1105703161820236,1,1,0,0.3999999999999999,0.8508326542598276,0.1011343161855003,-0.9614029704418512,0,0.0,-0.6404924696698217,-0.5844153761863708,0.0560770934834508,7041,8.859647499714997,60,4,28,2
34,1,4,True,-0.0706106872777191,3,3,0,1.0,0.9219213511809912,0.0550618414717827,-0.9925320384587104,0,0.0,-0.5549039749984941,-0.5718774199485779,0.0169734449500837,127,4.852030263919617,57,9,25,2
35,1,5,True,-0.0607870481355399,3,3,0,0.948683298050514,0.9223643991626173,0.0546194290293436,-0.9831514472981572,0,0.0,-0.5042573417023475,-0.5307928919792175,0.02653555027687,51,3.9512437185814275,58,10,26,2
36,1,6,True,-0.0502764685058096,3,3,0,0.7745966692414834,0.9223643991626173,0.0546194290293436,-0.9726408676684268,0,0.0,-0.497402133337797,-0.5272975564002991,0.029895423062502,52,3.970291913552122,59,11,27,2
37,1,7,True,-0.0394459303675319,1,1,0,1.0,0.9223643991626173,0.0546194290293436,-0.9618103295301492,0,0.0,-0.4916877289783841,-0.5317800641059875,0.0400923351276034,53,3.9889840465642745,60,12,28,2
40,1,10,True,-0.0716096369886086,3,3,0,0.7745966692414834,0.9260737466571424,0.0509158361196036,-0.9976833836457508,0,0.0,-0.945799658110508,-0.4447296261787414,0.5010700319317666,1,0.6931471805599453,61,19,27,3
41,1,11,True,-0.06223195742665,1,1,0,0.948683298050514,-0.8660203251420379,0.0,0.8037883677153879,0,0.0,-0.9445517198504224,-0.3623524010181427,0.5821993188322798,139,4.941642422609304,60,18,26,3
42,1,12,True,-0.9999989913057294,1,1,0,0.948683298050514,-0.8660203251420379,0.0,-0.1339786661636915,0,0.0,-0.9981780544037128,-0.2747661769390106,0.7234118774647023,83,4.430816798843313,61,19,25,4
43,1,13,True,-0.9999989913057296,2,0,1,0.1999999999999999,-0.8660203251420379,0.0,-0.1339786661636917,0,0.0,-0.999177392638572,-0.4499306678771972,0.5492467247613746,55,4.02535169073515,62,20,26,2
44,1,14,True,-0.9999989913057292,3,3,0,0.948683298050514,-0.8660203251420379,0.0,-0.1339786661636914,0,0.0,-0.9997841815402128,-0.3218069076538086,0.6779772738864042,161,5.087596335232384,59,23,21,2
45,1,15,True,-0.9999989913057292,1,1,0,1.0,-0.8660203251420379,0.0,-0.1339786661636913,0,0.0,-0.9997740367481146,-0.3140559494495392,0.6857180872985754,67,4.219507705176107,58,24,20,2
46,1,16,True,-0.9999989913057288,1,1,0,0.4472135954999579,-0.8660203251420379,0.0,-0.133978666163691,0,0.0,-0.9997631807900634,-0.1658081114292144,0.833955069360849,303,5.717027701406222,55,27,17,3
47,1,17,True,-0.9999989913057288,3,3,0,1.0,-0.8660203251420379,0.0,-0.1339786661636909,0,0.0,-0.9998869856878384,-0.3089138567447662,0.6909731289430722,2414,7.789454566086673,56,28,18,2
48,1,18,True,-0.9999989913057288,0,2,1,0.2581988897471611,-0.8660203251420379,0.0,-0.1339786661636908,0,0.0,-0.999889177169402,-0.3866180777549743,0.6132710994144277,4434,8.39728289474368,57,29,19,1
49,1,19,True,-0.9999989913057304,3,1,1,0.2108185106778919,0.8122952097176688,0.1141228305690523,-1.812294201023399,0,0.0,-0.9811418747180852,-0.0319647416472435,0.9491771330708418,8,2.1972245773362196,50,32,12,3
50,1,20,True,-0.9999989913057304,3,1,1,0.2581988897471611,0.8122952097176688,0.1141228305690523,-1.812294201023399,0,0.0,-0.9994501646216882,-0.1390483081340789,0.8604018564876093,8,2.1972245773362196,51,33,11,3
51,1,21,True,-0.9999989913057304,1,0,1,-0.2108185106778919,-0.8660203251420379,0.0,-0.1339786661636924,0,0.0,-0.9999530949396328,0.00954020768404,1.0094933026236728,13,2.6390573296152584,52,34,10,3
63,2,3,True,-0.1005982445109704,1,1,0,0.1999999999999999,0.8508326542598276,0.1011343161855003,-0.951430898770798,0,0.0,-0.6342396553910409,-0.6305562853813171,0.0036833700097237,5887,8.680671660408713,59,5,27,2
64,2,4,True,-0.0624973280232457,3,3,0,0.7999999999999999,0.9219213511809912,0.0550618414717827,-0.984418679204237,0,0.0,-0.5874585068946582,-0.5369592308998108,0.0504992759948473,4691,8.453614209773367,56,8,24,3
65,2,5,True,-0.0515773600944114,1,1,0,0.948683298050514,0.9219213511809912,0.0550618414717827,-0.9734987112754028,0,0.0,-0.5802196227788678,-0.5499200224876404,0.0302996002912274,7083,8.865593998902725,55,9,23,3
66,2,6,True,-0.0617687489792841,2,2,0,0.7999999999999999,0.9219213511809912,0.0550618414717827,-0.9836901001602754,0,0.0,-0.5855725353185728,-0.599087655544281,0.0135151202257082,3906,8.27052509505507,56,10,24,1
67,2,7,True,-0.029536926657846,3,3,0,0.7745966692414834,0.9251182651585652,0.051869756671592,-0.9546551918164112,0,0.0,-0.4850422298251066,-0.4909098148345947,0.0058675850094881,50,3.9318256327243257,59,13,27,2
68,2,8,True,-0.0184510383672474,3,3,0,0.7745966692414834,0.9251182651585652,0.051869756671592,-0.9435693035258126,0,0.0,-0.4792281262727008,-0.5112529993057251,0.0320248730330242,58,4.07753744390572,58,14,26,2
69,2,9,True,-0.0071792160267207,1,1,0,1.0,0.9260737466571424,0.0509158361196036,-0.933252962683863,0,0.0,-0.4733443816480646,-0.5129793286323547,0.0396349469842901,158,5.0689042022202315,57,15,25,2
70,2,10,True,-0.0043789448869842,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,0.8616413802550537,0,0.0,-0.8949692318260641,-0.502613365650177,0.3923558661758871,7,2.0794415416798357,60,18,28,1
71,2,11,True,0.0056778331483034,1,0,1,-0.3999999999999999,0.9260737466571424,0.0509158361196036,-0.9203959135088388,0,0.0,-0.8938184708962957,-0.3390867710113525,0.5547316998849432,172,5.153291594497779,59,17,27,3
72,2,12,True,-0.9999989913057292,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,-0.1339786661636914,0,0.0,-0.9997490046450276,-0.4495322704315185,0.5502167342135091,63,4.1588830833596715,62,20,24,2
73,2,13,True,-0.9999989913057292,3,3,0,0.948683298050514,-0.8660203251420379,0.0,-0.1339786661636914,0,0.0,-0.9997890595982284,-0.4742652773857116,0.5255237822125167,125,4.836281906951478,61,21,23,2
74,2,14,True,-0.9999989913057292,0,0,0,0.7745966692414834,-0.8660203251420379,0.0,-0.1339786661636914,0,0.0,-0.9997877880849432,-0.4388028383255005,0.5609849497594427,222,5.407171771460119,60,22,22,2
75,2,15,True,-0.999998991305729,3,3,0,0.7745966692414834,-0.8660203251420379,0.0,-0.1339786661636911,0,0.0,-0.9997711493947576,-0.340906023979187,0.6588651254155705,197,5.288267030694535,57,25,19,2
76,2,16,True,-0.9999989913057288,0,0,0,-0.1054092553389459,-0.8660203251420379,0.0,-0.133978666163691,0,0.0,-0.9997686127587576,-0.3565570712089538,0.6432115415498038,381,5.945420608606575,56,26,18,2
77,2,17,True,-0.9999989913057308,3,1,1,0.7378647873726218,0.8122952097176688,0.1141228305690523,-1.8122942010233996,0,0.0,-0.7285407971139668,-0.1478426158428192,0.5806981812711476,3,1.3862943611198906,47,35,15,2
