state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,severity_raw_strict,severity_strict,total_samples,log_coverage,goal_distance,hazard_distance,local_connectivity,action_sample_gap,log_n_best_config_action,log_pair_min_samples,pi_beta_prob_gap
437,14,17,True,2,-0.9999989913057348,1,2,1,0.8944271909999159,-0.8660203251420378,1.2490984923352586e-17,-0.133978666163697,0,0.0,0.0,0,-0.9661194046186508,-0.7314652800559998,0.234654124562651,2,4,2,2,-1.5115307060664729,0,0.948683298050514,-0.6455103809244349,0,0.0,0,0,0.0,0.0,6,1.9459101490553132,29,10,2,0.5108256237659905,1.6094379124341003,1.0986122886681098,-0.09429493546485901
440,14,20,True,1,-0.9999997977669054,3,3,0,0.7745966692414834,-0.9966505081285508,0.0023534104960733,-0.0033492896383544,0,0.0,0.0,0,-0.944134251161362,-0.1650899946689605,0.7790442564924014,7,7,7,3,-3.522866147458109,0,0.7745966692414834,-2.526215639329558,0,0.0,0,0,0.0,0.0,7,2.0794415416798357,26,3,3,0.0,2.0794415416798357,2.0794415416798357,0.0
441,14,21,True,1,-0.9999997979425332,3,3,0,0.7745966692414834,-0.9983252540642756,0.0016747459357245,-0.0016745438782577,0,0.0,0.0,0,-0.942678847994452,-0.283187985420227,0.6594908625742251,7,7,7,3,-2.373563428048768,0,0.7745966692414834,-1.3752381739844923,0,0.0,0,0,0.0,0.0,7,2.0794415416798357,25,2,3,0.0,2.0794415416798357,2.0794415416798357,0.0
442,14,22,True,1,-0.999999798261147,3,3,0,0.7745966692414834,-0.9983252540642756,0.0016747459357245,-0.0016745441968715,0,0.0,0.0,0,-0.9354879243665576,-0.1798658072948455,0.7556221170717119,5,5,5,3,-1.070299531858818,0,0.7745966692414834,-0.0719742777945424,0,0.0,0,0,0.0,0.0,5,1.791759469228055,24,1,3,0.0,1.791759469228055,1.791759469228055,0.0
445,14,25,True,2,0.4892769028740652,3,1,1,0.7378647873726218,-0.1657429399341288,0.0472692203386764,0.655019842808194,1,0.655019842808194,0.7337970707379543,1,-0.0108567451902455,-0.1575429737567901,0.1466862285665445,55,178,55,3,0.4882858723226478,1,0.7378647873726218,0.6540288122567766,1,0.6540288122567766,1,1,0.6540288122567766,0.6151185366833525,233,5.455321115357702,27,4,2,1.1620341151056053,5.187385805840755,4.02535169073515,0.5198526084423065
446,14,26,True,2,0.5061515315958242,0,0,0,0.948683298050514,0.4586487265935534,0.0248390923518181,0.0475028050022707,0,0.0,0.0,0,0.0670734135066942,-0.017811007797718,0.0848844213044123,232,232,232,0,0.5059323565432745,0,0.948683298050514,0.0472836299497211,0,0.0,0,0,0.0,0.0,287,5.662960480135946,26,5,2,0.0,5.4510384535657,5.4510384535657,0.0
447,14,27,True,2,0.5586108680351393,1,1,0,0.948683298050514,0.55642595641841,0.004776422578815,0.0021849116167292,0,0.0,0.0,0,0.1426184897267449,0.1114673390984535,0.0311511506282914,648,648,648,1,0.5577058872567253,0,0.948683298050514,0.0012799308383153,0,0.0,0,0,0.0,0.0,1155,7.052721049232323,23,7,2,0.0,6.47543271670409,6.47543271670409,0.0
448,14,28,True,3,0.576274163839867,3,3,0,0.7999999999999999,0.5766281633809698,0.00454187540379,-0.0003539995411028,0,0.0,0.0,0,0.1905600022818855,0.2533639073371887,0.0628039050553032,2676,2676,2676,3,0.5756129366841979,0,0.948683298050514,-0.0010152266967718,0,0.0,0,0,0.0,0.0,2847,7.954372272531867,22,4,2,0.0,7.892452043520352,7.892452043520352,0.0
449,14,29,True,3,0.5937335859705479,1,1,0,1.0,0.5792598291082747,0.0145901014342451,0.0144737568622732,0,0.0,0.0,0,0.2050184798131367,0.3454929888248443,0.1404745090117076,2600,2600,2600,1,0.5932918980625994,0,1.0,0.0140320689543247,0,0.0,0,0,0.0,0.0,2734,7.913886714856082,21,5,2,0.0,7.8636512654486515,7.8636512654486515,0.0
463,15,13,True,1,-0.9999989913057314,3,2,1,0.2581988897471611,-0.9062142275994264,0.0069077247053245,-0.0937847637063049,0,0.0,0.0,0,-0.999662424845204,-0.619183361530304,0.3804790633149,4,0,0,3,-2.446174414686764,1,0.2581988897471611,-1.5399601870873372,0,0.0,0,0,0.0,0.0,4,1.6094379124341003,34,2,3,-1.6094379124341003,0.0,0.0,-0.930351983755827
464,15,14,True,2,-0.9999989913057314,0,0,0,0.8944271909999159,-0.8727193088849358,0.0032852784028697,-0.1272796824207956,0,0.0,0.0,0,-0.9996589770213063,-0.9816361665725708,0.0180228104487355,11,11,11,0,-1.1794557083855377,0,0.948683298050514,-0.3067363995006019,0,0.0,0,0,0.0,0.0,12,2.5649493574615367,33,3,3,0.0,2.4849066497880004,2.4849066497880004,0.0
465,15,15,True,2,-0.9999989913057314,0,0,0,0.948683298050514,-0.8693698170134867,0.0023534104960733,-0.1306291742922447,0,0.0,0.0,0,-0.9996644320543252,-0.9632462859153748,0.0364181461389503,24,24,24,0,-1.0816764979974391,0,0.948683298050514,-0.2123066809839524,0,0.0,0,0,0.0,0.0,25,3.258096538021482,34,6,2,0.0,3.2188758248682006,3.2188758248682006,0.0
467,15,17,True,1,-0.9999989913057348,0,0,0,0.7745966692414834,-0.8660203251420378,1.2490984923352586e-17,-0.133978666163697,0,0.0,0.0,0,-0.965017061542767,-0.4553488790988922,0.5096681824438748,2,2,2,0,-2.768736711282898,0,0.7745966692414834,-1.90271638614086,0,0.0,0,0,0.0,0.0,2,1.0986122886681098,28,11,2,0.0,1.0986122886681098,1.0986122886681098,0.0
