state,row,col,covered,n_actions_covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error,n_pi_d_star_action,n_best_config_action,pair_min_samples,pi_d_star_action_cross,pi_d_star_V_cross,argmax_disagree_cross,rank_correlation_cross,value_gap_cross,is_disagreement_cross,severity_raw_cross,statistically_significant_cross,is_disagreement_strict,severity_raw_strict,severity_strict,total_samples,log_coverage,goal_distance,hazard_distance,local_connectivity,action_sample_gap,log_n_best_config_action,log_pair_min_samples,pi_beta_prob_gap
520,17,10,True,2,-1.2176256885069754,3,3,0,0.948683298050514,-1.8144491570127117,0.1888473212073531,0.5968234685057359,0,0.0,0.0,0,-2.907581817215032,-2.9586756229400635,0.0510938057250314,2,2,2,3,-2.3248737841709346,0,0.948683298050514,-0.5104246271582233,0,0.0,0,0,0.0,0.0,3,1.3862943611198906,39,13,2,0.0,1.0986122886681098,1.0986122886681098,0.0
521,17,11,True,2,-1.199621908260129,3,3,0,0.948683298050514,-1.7587107492565086,0.1515264548810048,0.5590888409963797,0,0.0,0.0,0,-2.8818191448556485,-2.961899757385254,0.0800806125296054,22,22,22,3,-1.642492980581438,0,0.948683298050514,0.1162177686750707,0,0.0,0,0,0.0,0.0,23,3.1780538303479458,38,12,2,0.0,3.1354942159291497,3.1354942159291497,0.0
522,17,12,True,2,-1.176669720577015,0,0,0,0.948683298050514,-1.815740450221568,0.1888113425132275,0.639070729644553,0,0.0,0.0,0,-2.878817442636677,-2.909484624862671,0.030667182225994,166,166,166,0,-1.609226264684058,0,0.948683298050514,0.2065141855375099,0,0.0,0,0,0.0,0.0,185,5.225746673713202,37,11,2,0.0,5.117993812416755,5.117993812416755,0.0
523,17,13,True,2,-1.2016416201268534,0,3,1,0.7378647873726218,-1.3254244254199894,0.181830612141131,0.123782805293136,1,0.123782805293136,0.0425108605203368,0,-2.758396820908364,-2.691683530807495,0.0667132901008686,14,54,14,3,-1.4942539125299534,0,0.948683298050514,-0.168829487109964,0,0.0,0,0,0.0,0.0,68,4.23410650459726,30,12,2,1.299282984130261,4.007333185232471,2.70805020110221,0.6765024960041046
524,17,14,True,2,-1.2545345116803213,2,3,1,0.7378647873726218,-1.2385849449898234,0.2102432854409833,-0.0159495666904978,0,0.0,0.0,0,-2.7398698465717173,-2.671725988388061,0.0681438581836557,3,67,3,3,-1.4773592881434263,0,0.948683298050514,-0.2387743431536031,0,0.0,0,0,0.0,0.0,70,4.2626798770413155,29,13,2,2.833213344056216,4.219507705176107,1.3862943611198906,0.927878562361002
525,17,15,True,2,-1.2732225782891484,2,1,1,0.7378647873726218,-1.226563490528942,0.1880025455270705,-0.0466590877602064,0,0.0,0.0,0,-2.7357611091205496,-2.6256368160247803,0.1101242930957693,15,56,15,1,-1.460275423472794,0,0.948683298050514,-0.2337119329438519,0,0.0,0,0,0.0,0.0,71,4.276666119016055,28,14,2,1.2704625455947691,4.04305126783455,2.772588722239781,0.6685090810060501
526,17,16,True,1,0.0394336405611279,3,3,0,0.7745966692414834,0.0487951130742159,0.0174184754178602,-0.009361472513088,0,0.0,0.0,0,-0.762737216473077,-2.157124280929565,1.3943870644564884,14,14,14,3,-0.0709124823986613,0,0.7745966692414834,-0.1197075954728773,0,0.0,0,0,0.0,0.0,14,2.70805020110221,25,9,2,0.0,2.70805020110221,2.70805020110221,0.0
527,17,17,True,2,0.0844631216200443,3,1,1,0.7378647873726218,-0.0419084432296819,0.1356831356729012,0.1263715648497262,1,0.1263715648497262,0.0433999209691632,0,-0.7312185078158151,-2.14649510383606,1.4152765960202445,62,153,62,1,-0.0380712879633376,0,0.948683298050514,0.0038371552663442,0,0.0,0,0,0.0,0.0,215,5.375278407684165,24,10,4,0.893817876022097,5.0369526024136295,4.143134726391533,0.41620564460754395
528,17,18,True,4,0.117946550387777,3,3,0,0.3999999999999999,-0.1493777819488337,0.1880078514086851,0.2673243323366108,0,0.0,0.0,0,-0.6663547876598174,-1.443863868713379,0.7775090810535615,133,133,133,3,-0.0397835112816704,0,0.7999999999999999,0.1095942706671633,0,0.0,0,0,0.0,0.0,282,5.645446897643238,23,11,3,0.0,4.897839799950911,4.897839799950911,0.0
529,17,19,True,2,0.1522701577832097,1,1,0,0.948683298050514,-0.122749253448511,0.1899029067406931,0.2750194112317208,0,0.0,0.0,0,-0.5582109049173222,-1.02861225605011,0.4704013511327877,124,124,124,1,-0.0066176718199223,0,0.948683298050514,0.1161315816285886,0,0.0,0,0,0.0,0.0,143,4.969813299576001,22,12,3,0.0,4.8283137373023015,4.8283137373023015,0.0
