epoch,overall,covered,held_out,weighted_success_rate,weights
60,"{'mean_return': -2.8429400000000022, 'std_return': 2.8552304909411452, 'stderr_return': 0.12768978938348996, 'mean_discounted_return': -2.8429400000000022, 'success_rate': 0.48, 'success_rate_stderr': 0.022342784070030305, 'mean_length': 108.076, 'n_episodes': 500}","{'mean_return': -1.7843000000000016, 'std_return': 2.6616634854917347, 'stderr_return': 0.11903320973577088, 'mean_discounted_return': -1.7843000000000016, 'success_rate': 0.598, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 75.546, 'n_episodes': 500}","{'mean_return': -5.1416600000000034, 'std_return': 1.7323190942779594, 'stderr_return': 0.07747166507052768, 'mean_discounted_return': -5.1416600000000034, 'success_rate': 0.232, 'success_rate_stderr': 0.018877287940803362, 'mean_length': 179.354, 'n_episodes': 500}",0.38549999999999995,"(0.25, 0.25, 0.5)"
65,"{'mean_return': -2.8410400000000022, 'std_return': 2.8388880425969627, 'stderr_return': 0.12695893287516255, 'mean_discounted_return': -2.8410400000000022, 'success_rate': 0.49, 'success_rate_stderr': 0.022356207191739835, 'mean_length': 108.356, 'n_episodes': 500}","{'mean_return': -1.7787600000000015, 'std_return': 2.6566382633697065, 'stderr_return': 0.11880847497043306, 'mean_discounted_return': -1.7787600000000015, 'success_rate': 0.6, 'success_rate_stderr': 0.021908902300206645, 'mean_length': 75.43, 'n_episodes': 500}","{'mean_return': -5.064040000000003, 'std_return': 1.763209368849885, 'stderr_return': 0.07885312014625687, 'mean_discounted_return': -5.064040000000003, 'success_rate': 0.26, 'success_rate_stderr': 0.019616319736382767, 'mean_length': 177.728, 'n_episodes': 500}",0.40249999999999997,"(0.25, 0.25, 0.5)"
70,"{'mean_return': -2.9695000000000022, 'std_return': 2.864302279788223, 'stderr_return': 0.12809549211428178, 'mean_discounted_return': -2.9695000000000022, 'success_rate': 0.466, 'success_rate_stderr': 0.022308921982023246, 'mean_length': 111.814, 'n_episodes': 500}","{'mean_return': -1.9415400000000018, 'std_return': 2.752411711281583, 'stderr_return': 0.12309159376984288, 'mean_discounted_return': -1.9415400000000018, 'success_rate': 0.57, 'success_rate_stderr': 0.022140460699813815, 'mean_length': 79.826, 'n_episodes': 500}","{'mean_return': -5.084100000000004, 'std_return': 1.754598013791196, 'stderr_return': 0.07846800864046455, 'mean_discounted_return': -5.084100000000004, 'success_rate': 0.252, 'success_rate_stderr': 0.019416281827373642, 'mean_length': 178.122, 'n_episodes': 500}",0.385,"(0.25, 0.25, 0.5)"
75,"{'mean_return': -2.6797800000000023, 'std_return': 2.848285826879039, 'stderr_return': 0.12737921456501458, 'mean_discounted_return': -2.6797800000000023, 'success_rate': 0.506, 'success_rate_stderr': 0.02235906974809104, 'mean_length': 103.53, 'n_episodes': 500}","{'mean_return': -1.4524800000000013, 'std_return': 2.536514744605284, 'stderr_return': 0.11343638789735866, 'mean_discounted_return': -1.4524800000000013, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 65.79, 'n_episodes': 500}","{'mean_return': -5.0375400000000035, 'std_return': 1.7851078814458274, 'stderr_return': 0.07983245140167011, 'mean_discounted_return': -5.0375400000000035, 'success_rate': 0.264, 'success_rate_stderr': 0.019713142824014644, 'mean_length': 176.982, 'n_episodes': 500}",0.4175,"(0.25, 0.25, 0.5)"
80,"{'mean_return': -2.673060000000002, 'std_return': 2.849456796724599, 'stderr_return': 0.12743158192850007, 'mean_discounted_return': -2.673060000000002, 'success_rate': 0.506, 'success_rate_stderr': 0.02235906974809104, 'mean_length': 103.306, 'n_episodes': 500}","{'mean_return': -1.4457000000000015, 'std_return': 2.534841160704159, 'stderr_return': 0.11336154294997935, 'mean_discounted_return': -1.4457000000000015, 'success_rate': 0.636, 'success_rate_stderr': 0.02151762068631195, 'mean_length': 65.564, 'n_episodes': 500}","{'mean_return': -5.0375400000000035, 'std_return': 1.7851078814458274, 'stderr_return': 0.07983245140167011, 'mean_discounted_return': -5.0375400000000035, 'success_rate': 0.264, 'success_rate_stderr': 0.019713142824014644, 'mean_length': 176.982, 'n_episodes': 500}",0.4175,"(0.25, 0.25, 0.5)"
85,"{'mean_return': -2.809700000000002, 'std_return': 2.8509256935248266, 'stderr_return': 0.1274972729904449, 'mean_discounted_return': -2.809700000000002, 'success_rate': 0.486, 'success_rate_stderr': 0.022351912669836556, 'mean_length': 107.174, 'n_episodes': 500}","{'mean_return': -1.7770400000000013, 'std_return': 2.662132686099626, 'stderr_return': 0.11905419302485747, 'mean_discounted_return': -1.7770400000000013, 'success_rate': 0.598, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 75.304, 'n_episodes': 500}","{'mean_return': -5.057540000000003, 'std_return': 1.7645048451052807, 'stderr_return': 0.07891105560566289, 'mean_discounted_return': -5.057540000000003, 'success_rate': 0.262, 'success_rate_stderr': 0.01966499427917537, 'mean_length': 177.58, 'n_episodes': 500}",0.402,"(0.25, 0.25, 0.5)"
90,"{'mean_return': -2.7063000000000024, 'std_return': 2.8659007153074954, 'stderr_return': 0.12816697632385662, 'mean_discounted_return': -2.7063000000000024, 'success_rate': 0.508, 'success_rate_stderr': 0.022357817424784557, 'mean_length': 104.806, 'n_episodes': 500}","{'mean_return': -1.4436200000000015, 'std_return': 2.5353126622963114, 'stderr_return': 0.1133826291422104, 'mean_discounted_return': -1.4436200000000015, 'success_rate': 0.638, 'success_rate_stderr': 0.021492138097453217, 'mean_length': 65.628, 'n_episodes': 500}","{'mean_return': -5.039600000000004, 'std_return': 1.785786280605832, 'stderr_return': 0.07986279033442309, 'mean_discounted_return': -5.039600000000004, 'success_rate': 0.262, 'success_rate_stderr': 0.01966499427917537, 'mean_length': 176.982, 'n_episodes': 500}",0.4175,"(0.25, 0.25, 0.5)"
95,"{'mean_return': -2.623920000000002, 'std_return': 2.8192117752308024, 'stderr_return': 0.12607898344767862, 'mean_discounted_return': -2.623920000000002, 'success_rate': 0.524, 'success_rate_stderr': 0.02233490541730589, 'mean_length': 102.286, 'n_episodes': 500}","{'mean_return': -1.4416000000000013, 'std_return': 2.52864031447733, 'stderr_return': 0.11308423267635512, 'mean_discounted_return': -1.4416000000000013, 'success_rate': 0.638, 'success_rate_stderr': 0.021492138097453217, 'mean_length': 65.496, 'n_episodes': 500}","{'mean_return': -4.896140000000002, 'std_return': 1.8207851329577611, 'stderr_return': 0.08142798659429093, 'mean_discounted_return': -4.896140000000002, 'success_rate': 0.316, 'success_rate_stderr': 0.020791536739741004, 'mean_length': 174.054, 'n_episodes': 500}",0.4485,"(0.25, 0.25, 0.5)"
100,"{'mean_return': -2.809700000000002, 'std_return': 2.8509256935248266, 'stderr_return': 0.1274972729904449, 'mean_discounted_return': -2.809700000000002, 'success_rate': 0.486, 'success_rate_stderr': 0.022351912669836556, 'mean_length': 107.174, 'n_episodes': 500}","{'mean_return': -1.7770400000000013, 'std_return': 2.662132686099626, 'stderr_return': 0.11905419302485747, 'mean_discounted_return': -1.7770400000000013, 'success_rate': 0.598, 'success_rate_stderr': 0.021926969694875762, 'mean_length': 75.304, 'n_episodes': 500}","{'mean_return': -5.057540000000003, 'std_return': 1.7645048451052807, 'stderr_return': 0.07891105560566289, 'mean_discounted_return': -5.057540000000003, 'success_rate': 0.262, 'success_rate_stderr': 0.01966499427917537, 'mean_length': 177.58, 'n_episodes': 500}",0.402,"(0.25, 0.25, 0.5)"
105,"{'mean_return': -2.6719400000000024, 'std_return': 2.8541964957584844, 'stderr_return': 0.12764354771315323, 'mean_discounted_return': -2.6719400000000024, 'success_rate': 0.504, 'success_rate_stderr': 0.022359964221796064, 'mean_length': 103.2, 'n_episodes': 500}","{'mean_return': -1.4411800000000015, 'std_return': 2.528804145757439, 'stderr_return': 0.1130915594339384, 'mean_discounted_return': -1.4411800000000015, 'success_rate': 0.638, 'success_rate_stderr': 0.021492138097453217, 'mean_length': 65.482, 'n_episodes': 500}","{'mean_return': -5.035320000000003, 'std_return': 1.7860438117806658, 'stderr_return': 0.07987430747868816, 'mean_discounted_return': -5.035320000000003, 'success_rate': 0.264, 'success_rate_stderr': 0.019713142824014644, 'mean_length': 176.908, 'n_episodes': 500}",0.4175,"(0.25, 0.25, 0.5)"
